id,Birth date,Native city,Gender,Wave id,Level,Heard about school from,Life status,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08,day_09,day_10,day_11,day_12,day_13,evalexpr,match_n_match,bsq,rush_00,rush_01,rush_02,exam_00,exam_01,exam_02,exam_final,Contract termination date,Memory entrance game,Logic entrance game,contract_status
129212391,1990-01-18,Пермь,male,3,7.463235294117647,google_ads,work,5,,0,80,0,1,0,15,10,0,50,21,20,55,81,0,0,0,0,0,75,43,100,44,,9,11,1
566688420,1996-07-31,Волгоград,female,1,8.785714285714286,,,0,,10,45,5,1,35,0,5,16,0,9,0,10,0,0,0,110,0,0,0,16,22,22,,7,10,1
242300495,1992-06-27,Новосибирск,female,2,6.775,other,work,0,,20,2,0,0,0,0,0,0,15,0,0,,,,0,,,,0,0,16,27,,7,11,1
715424753,1996-06-15,Тула,female,1,8.146103896103897,,,5,0,35,25,20,2,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,27,,9,6,1
382884118,1968-07-18,Голицыно,male,3,4.2727272727272725,other,other,0,0,,5,85,3,50,40,0,12,40,5,0,0,0,60,0,120,0,0,80,38,0,45,,7,12,1
1272364814,1996-09-26,Moscow,male,1,5.264150943396227,,,50,,35,50,0,1,70,40,0,3,10,29,0,10,0,0,0,10,0,100,80,54,70,45,,8,13,0
2140755719,2000-07-02,Мичуринск,female,2,3.757575757575758,from_21_student,study,10,0,0,50,20,0,70,30,0,21,40,2,0,10,0,100,0,0,,0,0,22,38,27,,11,13,1
740347395,1999-09-03,Москва,male,3,4.25668449197861,,,0,0,0,0,0,0,0,0,0,26,0,,0,30,0,0,0,0,42,0,70,16,33,36,,10,10,1
498417047,1997-03-25,Долгопрудный ,male,1,5.509433962264151,,,5,,0,100,85,35,0,60,70,0,0,0,27,45,0,60,0,0,0,0,80,38,80,44,,7,10,0
1709085629,1991-04-08,Moscow,male,2,2.8689655172413793,,,10,,0,32,0,1,0,30,0,0,0,21,10,0,100,0,0,0,100,0,0,32,27,18,,7,11,1
2008387978,1987-03-16,Москва,male,3,6.470833333333333,from_friends,work,70,70,50,50,30,5,100,60,40,21,40,58,0,40,0,60,0,120,,0,60,48,80,45,,8,18,1
828782700,2000-08-30,Вологда,female,4,1.5859375,vk_ads,study,10,,0,0,5,7,0,15,0,12,60,21,20,40,0,0,0,0,0,100,0,0,11,27,,8,10,1
771904458,1996-03-05,Егорьевск,male,3,3.5515151515151517,google_ads,work,10,10,35,30,5,1,70,40,0,9,20,0,0,0,0,0,50,10,0,0,50,32,33,18,,8,11,0
449514079,1996-07-02,Кашира,male,1,7.345588235294118,,,92,,0,65,0,1,20,0,0,15,60,21,0,45,0,60,0,0,80,0,0,54,49,35,,9,14,1
135655607,1999-11-24,Москва,male,1,10.287878787878787,,,30,,50,65,100,0,100,60,70,21,50,21,0,30,100,0,0,120,96,0,90,100,95,72,,8,18,1
1483637382,1998-02-16,пос. Майский,male,3,3.303030303030303,from_friends,study,65,0,32,35,0,12,0,20,0,0,,21,-42,30,0,60,0,0,0,0,0,12,54,40,,8,10,0
1060853957,2000-05-16,Новороссийск,male,3,4.25668449197861,from_parents,study,5,5,,0,5,15,0,0,0,11,0,0,0,0,0,60,0,0,0,,0,0,16,27,,7,11,1
1363217905,1993-04-22,Krasnoyarsk,male,1,7.319852941176471,,,85,,0,5,70,10,70,5,0,0,20,29,0,0,0,100,0,100,0,0,0,48,48,27,,7,11,1
100299492,1988-06-01,Брянск,male,1,7.0661764705882355,,,0,,0,65,0,1,20,10,0,20,50,33,0,60,0,100,0,0,0,0,0,27,27,22,,7,11,1
2106382796,1991-09-19,Лосино-Петровский,male,2,8.831168831168831,from_friends,work,62,0,0,57,5,3,100,30,0,31,40,42,35,10,0,0,0,120,0,0,0,54,80,40,,8,10,1
707731577,1990-06-18,Торжок,male,3,4.165775401069519,other,work,10,0,0,15,10,0,0,0,0,12,0,0,0,0,0,0,,120,,,0,0,11,18,,6,7,1
2080177553,1997-04-01,"Одинцовский район, поселок Лесной городок",male,1,6.629166666666666,,,0,,0,5,5,5,20,10,20,31,75,74,0,10,70,100,63,,0,0,95,59,64,44,,8,12,0
510360111,1992-09-28,Cheboksary,female,2,6.766666666666667,vk_ads,work,10,0,-42,50,10,79,100,20,0,16,0,5,-42,25,80,0,100,0,0,0,80,70,80,45,,9,14,1
572699459,1991-12-09,Реутов,male,1,7.022058823529412,,,50,,0,30,40,10,100,40,0,0,50,21,0,50,0,100,0,0,0,0,95,48,80,49,,7,13,1
338101559,2000-10-21,Химки,male,1,12.393700787401574,,,100,100,80,65,5,70,0,0,10,21,50,33,0,50,0,100,0,120,0,100,70,59,0,53,,8,20,1
231172151,1997-09-02,Курск,male,2,7.242647058823529,yandex_ads,work,40,20,80,50,60,7,0,0,0,0,40,0,0,0,,0,0,0,,0,80,43,49,27,,9,12,1
512424434,1985-12-10,Москва,male,3,4.010695187165775,other,work,0,0,0,25,50,5,20,20,0,9,30,0,0,0,0,60,0,0,0,0,60,22,16,31,,7,11,1
908037768,1999-06-12,Москва,male,3,5.372641509433962,google_ads,other,10,0,-42,37,10,0,0,25,0,0,35,22,0,0,0,0,0,0,0,0,0,22,70,31,,9,12,1
1371971194,1998-10-31,Рязань,female,1,7.797794117647059,,,5,0,0,10,40,15,0,40,0,24,0,19,20,,,66,0,100,0,75,0,11,16,27,,9,10,1
1187939719,1995-10-22,Москва,male,3,5.221698113207547,from_friends,other,10,20,0,5,,5,35,20,0,30,50,27,0,40,0,0,0,0,,0,80,75,80,72,,8,9,1
547391074,1991-12-08,Москва,female,1,7.290441176470588,,,82,60,77,50,80,5,0,60,100,38,30,9,35,40,0,13,0,100,80,0,0,27,27,45,,7,10,1
181836970,1985-09-18,Набережные Челны ,male,3,4.133689839572193,google_ads,work,7,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,38,9,,7,7,1
264725109,1998-01-12,Москва,male,2,8.116883116883116,,,5,,0,0,0,2,0,20,40,18,40,33,0,70,100,100,0,0,0,0,55,,80,36,,7,22,1
1796274026,2000-11-24,Нижний Новгород,male,2,6.675,from_friends,other,0,0,0,22,5,1,0,0,0,19,30,0,0,0,0,,0,0,,0,0,27,59,18,,8,14,1
652445456,1993-11-12,Москва,female,3,4.213903743315508,from_21_student,study,0,0,0,50,0,0,100,15,0,6,30,21,0,20,,0,0,0,0,0,55,33,43,45,,9,13,1
599277410,1993-05-06,Челябинск,female,2,7.327205882352941,yandex_ads,work,0,0,0,30,60,17,70,30,0,1,20,17,0,0,0,0,,105,0,0,0,0,43,27,,8,7,1
357125440,1997-02-04,Москва,male,1,8.162337662337663,,,75,,65,30,30,50,100,0,0,13,10,21,0,0,100,,70,100,0,0,0,59,0,31,,8,16,1
2137960362,1998-04-29,"Дер. Щемилово, Ногинский р-н",male,1,3.7636363636363637,vk_ads,other,50,,0,80,10,3,0,40,0,0,50,5,0,30,0,0,0,105,0,0,20,70,70,43,2019-11-28T21:00:00+03:00,7,10,0
1003422530,2001-04-24,Бор,male,3,3.56969696969697,vk_ads,study,10,0,0,0,20,1,20,0,0,21,50,0,0,0,100,60,0,100,0,0,0,43,22,0,2020-02-09T21:00:00+03:00,7,11,0
333381819,1990-12-03,Батайск,male,1,8.581168831168831,,,0,,35,20,0,0,20,0,0,4,20,0,0,0,0,0,0,0,0,0,0,32,22,17,,8,10,1
363396910,1997-02-17,дер. Сапроново,male,3,6.541666666666667,,,10,0,57,80,40,5,100,30,0,12,60,38,35,50,0,100,0,120,0,100,80,64,70,45,,8,7,1
168374302,1990-12-09,,male,3,0.4424778761061947,,,10,,-42,-42,0,10,0,0,0,0,50,5,0,0,0,,null,0,0,0,0,16,6,18,,8,7,0
1630930615,1998-08-06,гор. Мытищи,male,3,1.71875,other,study,0,0,0,15,20,1,0,10,0,0,,42,0,0,0,0,0,120,0,0,0,48,32,26,2019-11-26T21:00:00+03:00,7,10,0
569575997,1991-11-29,Москва,male,2,3.9030303030303033,from_21_student,other,52,0,5,10,40,5,0,0,0,0,42,0,0,0,100,,0,100,,,15,27,48,36,,8,12,1
1529166900,1998-03-03,Москва,male,1,9.005730659025788,,,100,,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,,0,0,15,43,59,31,,8,11,1
1771284651,1981-09-10,Москва,male,3,3.375757575757576,facebook_ads,other,5,0,30,0,10,0,35,0,0,4,42,0,0,0,0,0,0,0,,,0,16,27,9,,7,6,1
1562814643,1994-02-12,Москва,male,2,6.0125,,,5,0,0,10,0,20,20,0,0,9,0,29,20,20,0,0,0,0,0,0,0,32,64,27,,9,12,1
353218444,1992-07-29,Зеленоград,male,3,4.411764705882353,other,study,10,,10,65,50,1,20,15,0,19,0,33,35,30,0,0,0,100,0,0,0,27,48,0,,8,17,1
897588000,1995-03-06,Дмитровск,male,3,4.2032085561497325,vk_ads,work,50,,65,25,85,2,0,15,0,0,45,0,0,0,0,,0,0,0,0,60,59,44,36,,8,14,1
1836379472,1994-11-10,Москва,male,1,7.492647058823529,,,100,100,90,25,20,20,20,60,1,45,55,100,0,60,0,66,0,0,0,0,60,32,33,31,,7,12,1
394811220,1996-10-31,Москва,male,1,8.551948051948052,,,30,40,100,50,80,2,100,60,15,0,50,0,35,0,51,100,50,60,100,0,75,49,65,49,2019-12-09T21:00:00+03:00,8,15,0
2015188957,1998-05-08,Москва ,male,3,5.226415094339623,other,study,10,0,0,50,10,0,0,0,0,6,40,-42,0,0,0,0,0,120,0,0,,6,54,31,,8,12,1
1316203462,1995-04-19,Дубна,male,2,4.080213903743315,from_friends,work,20,7,,0,10,15,0,0,0,0,0,0,,0,0,60,0,,0,0,0,16,22,27,,6,10,1
202538087,1995-07-09,Киров,male,3,3.0606060606060606,vk_ads,work,0,,0,0,15,15,20,20,0,6,45,0,0,10,0,60,0,0,80,0,60,32,43,31,2020-03-10T21:00:00+03:00,9,13,0
296047714,1986-11-20,Перхушково,male,3,4.823529411764706,from_21_student,work,10,0,0,30,0,5,0,40,10,9,50,27,0,45,0,0,100,110,0,0,0,22,54,27,,7,11,1
2101802746,1995-08-08,Санкт-Петербург,male,3,6.883333333333333,from_friends,study,20,0,0,15,5,2,0,40,0,32,0,26,27,0,0,0,0,115,0,,45,22,64,36,,6,16,1
1040242519,1997-01-24,Челябинск,male,2,4.903743315508021,other,other,10,0,0,30,65,1,0,10,0,15,40,13,20,12,0,60,0,0,0,0,0,0,27,36,,10,14,1
